Integrated BBA,FINA4110,Options and Futures,FIN4110,Options and Futures
Integrated BBA,FINA4120,Fixed Income Securities Analysis,FIN4120,Fixed Income Securities Analysis
Integrated BBA,MGNT3010,Organizational Behavior,MGT3010,Organizational Behavior
Integrated BBA,MKTG2010,Marketing Management,MKT2010,Marketing Management
Integrated BBA,MKTG3010,Marketing Research,MKT4120,Marketing Research
Integrated BBA,MKTG3030,Integrated Marketing Communication,MKT3030,Integrated Marketing Communication
Integrated BBA,MKTG4040,Strategic Marketing,MKT4040,Strategic Marketing
Information Engineering,CSCI2100,Data Structures,CSC3100,Data Structures
Information Engineering,CSCI3160,Design and Analysis of Algorithms,CSC4120,Design and Analysis of Algorithms
Information Engineering,IERG2051,Signals and Systems,ECE3001,Signals and Systems
Information Engineering,IERG2310,Principles of Communication Systems,ECE3050,Principles of Communication Systems
Information Engineering,IERG3010,Digital Communications,ECE4002,Digital Communications
Information Engineering,IERG3060,Microcontrollers and Embedded Systems,ECE3080,Microprocessors and Computer Systems
Information Engineering,IERG3080,Information and Software Engineering Practice,CSC4001,Software Engineering
Information Engineering,IERG3280,"Networks: Technology, Economics, and Social",ECE3280,"Networks: Technology, Economics and Society"
Information Engineering,,Interactions,,
Information Engineering,IERG3310,Computer Networks,ECE4016,Computer Networks
Information Engineering,IERG3320,Social Media and Human Information Interaction,ECE4300,Systems Design in Human- Computer Interaction
Information Engineering,IERG3810,Microcontrollers and Embedded Systems Laboratory,ECE3810,Embedded Systems Laboratory
Information Engineering,IERG4030,Optical Communications,ECE4004,Introduction to Optical Communications
Information Engineering,IERG4100,Wireless Communication Systems,ECE4003,Wireless Communication Systems
Information Engineering,IERG4150,Introduction to Cryptography,MAT4007,Introduction to Cryptography
Information Engineering,IERG4160,Image Processing and Visual Understanding,ECE4512,Digital Image Processing
Information Engineering,IERG4180,Network Software Design and Programming,ECE4180,Network Software Design and Programming
Information Engineering,IERG4190,Multimedia Coding and Processing,ECE4190,Multimedia Coding and Networking
Information Engineering,IERG4230,Introduction to Internet of Things,CSC4150,Mobile Computing with Internet of Things
Information Engineering,IERG4300,Web-scale Information Analytics,ERG3020,Web Analytics and Intelligence
Systems Engineering and Engineering Management,CSCI1130,Introduction to Computing Using Java,CSC1003,Introduction to Computer Science and Java Programming
Systems Engineering and Engineering Management,CSCI2100,Data Structures,CSC3100,Data Structures
Systems Engineering and Engineering Management,ENGG1130,Multivariable Calculus for Engineers,MAT1002,Calculus II
Systems Engineering and Engineering Management,SEEM2420,Operations Research I,MAT3007,Optimization
Systems Engineering and Engineering Management,SEEM3410,System Simulation,DDA4002,Stochastic Simulation
Systems Engineering and Engineering Management,SEEM3440,Operations Research II,MAT3220,Optimization II
Systems Engineering and Engineering Management,SEEM3550,Fundamentals in Information Systems,CSC3170,Database System
Mathematics,MATH2010,Advanced Calculus I,MAT1002,Calculus II
Mathematics,MATH2040,Linear Algebra II,MAT3040,Advanced Linear Algebra
Mathematics,MATH2050,Mathematical Analysis I,MAT2050,Mathematical Analysis
Mathematics,MATH2230,Complex Variables with Applications,MAT3253,Complex Variables
Mathematics,MATH3070,Introduction to Topology,MAT4002,Introduction to Geometry and Topology
Mathematics,MATH3080,Number Theory,MAT4003,Number Theory
Mathematics,MATH3093,Fourier Analysis,MAT3093,Fourier Analysis
Mathematics,MATH3230,Numerical Analysis,MAT4001,Numerical Analysis
Mathematics,MATH3260,Graph Theory,MAT4004,Graph Theory
Mathematics,MATH3280,Introductory Probability,MAT3280,Probability Theory
Mathematics,MATH3290,Mathematical Modelling,MAT3300,Mathematical Modelling
Mathematics,MATH4010,Functional Analysis,MAT4010,Functional Analysis
Mathematics,MATH4030,Differential Geometry,MAT4033,Differential Geometry
Mathematics,MATH4050,Real Analysis,MAT3006,Real Analysis
Mathematics,MATH4220,Partial Differential Equations,MAT4220,Partial Differential Equation
Statistics (CUHK),CSCI2520,Data Structures and Applications,CSC3100,Data Structures
Statistics (CUHK),RMSC4007,Risk Management with Derivatives Concepts,RMS4060,Risk Management with Derivatives
Statistics (CUHK),STAT2006,Basic Concepts in Statistics and Probability II,STA2002/ 2002H,Probability and Statistics II/ Honours Probability and Statistics II
Statistics (CUHK),STAT3003,Survey Methods,STA3030,Survey Sampling
Statistics (CUHK),STAT3007,Introduction to Stochastic Processes,STA4001,Stochastic Processes
Statistics (CUHK),STAT3008,Applied Regression Analysis,STA3001,Linear Models
Statistics (CUHK),STAT4003,Statistical Inference,STA3020,Statistical Inference
Statistics (CUHK),STAT4010,Bayesian Learning,DDA4010,Bayesian Statistics
Statistics (CUHK),STAT4011,Statistics Projects,STA4050,Statistical Capstone
Statistics (CUHK),STAT4012,Statistical Principles of Deep Learning with Business Applications,DDA4220,Deep Learning and Applications
Financial Engineering,CSCI2100,Data Structures,CSC3100,Data Structures
Financial Engineering,CSCI3150,Introduction to Operating Systems,CSC3150,Operating System
Financial Engineering,CSCI3230,Fundamentals of Artificial Intelligence,CSC3180,Fundamentals of Artificial Intelligence
Financial Engineering,STAT4001,Data Mining and Statistical Learning,DDA3020,Machine Learning
Financial Engineering,IERG4130,Introduction to Cyber Security,ECE4007,Computer and Network Security
Financial Engineering,IERG4300,Web-scale Information Analytics,ERG3020,Web Analytics and Intelligence
Financial Engineering,FINA2010,Financial Management,FIN2010,Financial Management
Financial Engineering,FINA3080,Investment Analysis and Portfolio Management,FIN3080,Investment Analysis and Portfolio Management
Financial Engineering,FINA3010,Financial Markets,FIN4060,Financial Markets in China and the World
Financial Engineering,FINA4400,Behavioral Finance,FIN4080,Behavioral Finance
Financial Engineering,FINA4110,Options and Futures,FIN4110,Options and Futures
Financial Engineering,FINA4120,Fixed Income Securities Analysis,FIN4120,Fixed Income Securities Analysis
Financial Engineering,SEEM4720,Computational Finance,FMA4800,Financial Computation
Financial Engineering,FTEC2001,FinTech Regulation and Legal Policy,FTE2001,FinTech Regulation and Legal Policy
Financial Engineering,FTEC4003,Data Mining for FinTech,FTE4003,Data Mining for FinTech
Financial Engineering,MATH3215,Operations Research,MAT3007,Optimization
Financial Engineering,MATH3280,Introductory Probability,MAT3280,Probability Theory
Financial Engineering,MKTG3060,Big Data Strategy in Marketing,MKT4220,Big Data Marketing
Financial Engineering,SEEM3580,Risk Analysis for Financial Engineering,RMS4060,Risk Management with Derivatives
Financial Engineering,RMSC4007,Risk Management with Derivatives Concepts,RMS4060,Risk Management with Derivatives
Financial Engineering,STAT2006,Basic Concepts in Statistics and Probability II,STA2002/2 002H,Probability and Statistics II/ Honours Probability and Statistics II
Financial Engineering,MATH4240,Stochastic Processes,STA4001,Stochastic Processes
Financial Engineering,STAT4005,Time Series,STA4003,Time Series
Marketing and Communication,ACCT2111,Introductory Financial Accounting,ACT2111,Introductory Financial Accounting
Marketing and Communication,FINA2010,Financial Management,FIN2010,Financial Management
Marketing and Communication,MGNT3010,Organizational Behaviour,MGT3010,Organizational Behavior
Marketing and Communication,MGNT3080,Analytics for Management,MGT4187,Managerial Analytics
Marketing and Communication,MKTG2010,Marketing Management,MKT2010,Marketing Management
Marketing and Communication,MKTG3020,Consumer Behaviour,MKT3020,Consumer Behavior
Marketing and Communication,MKTG3030,Integrated Marketing Communication,MKT3030,Integrated Marketing Communication
Marketing and Communication,MKTG4090,Marketing Analytics,MKT3310,Marketing Analytics
Marketing and Communication,MKTG4020,Retail and Channel Management,MKT4020,e-tailing and Retailing
Marketing and Communication,MKTG4030,Service Marketing,MKT4030,Service Marketing
Marketing and Communication,MKTG4040,Strategic Marketing,MKT4040,Strategic Marketing
Marketing and Communication,MKTG4180,Social Media Analytics,MKT4080,Digital and Social Media Marketing Strategy
Marketing and Communication,MKTG4110,Strategic Brand Management,MKT4110,Strategic Brand Management
Marketing and Communication,MKTG3010,Marketing Research,MKT4120,Marketing Research
Marketing and Communication,MKTG4160,Pricing,MKT4150,Pricing Strategy
Marketing and Communication,MKTG3060,Big Data Strategy in Marketing,MKT4220,Big Data Marketing
Computer Science and Engineering,CSCI1530,Computer Principles and Java Programming,CSC2003,Introduction to Java Programming
